CountryCode,Area,Year,January,February,March,April,May,June,July,August,September,October,November,December,UNK,TOT,TFRJanuary,TFRFebruary,TFRMarch,TFRApril,TFRMay,TFRJune,TFRJuly,TFRAugust,TFRSeptember,TFROctober,TFRNovember,TFRDecember,TFRTOT
AUT,1,2000,6587,6384,6799,6327,6668,6419,6755,6685,6827,6433,6101,6283,.,78268,1.37,1.32,1.41,1.32,1.39,1.34,1.41,1.4,1.43,1.35,1.28,1.32,1.36
AUT,1,2001,6611,5866,6376,6187,6409,6127,6625,6491,6513,6372,5801,6080,.,75458,1.39,1.23,1.34,1.3,1.35,1.3,1.4,1.37,1.38,1.35,1.23,1.29,1.33
AUT,1,2002,6594,6110,6724,6313,6500,6373,6927,6573,6944,6671,6244,6426,.,78399,1.4,1.3,1.43,1.34,1.38,1.36,1.47,1.4,1.48,1.42,1.33,1.37,1.39
AUT,1,2003,6570,6023,6485,6150,6426,6345,6924,6628,6661,6593,5928,6211,.,76944,1.41,1.29,1.39,1.32,1.38,1.36,1.49,1.43,1.43,1.42,1.28,1.34,1.38
AUT,1,2004,6780,6149,6424,6340,6509,6550,6986,6928,6976,6521,6367,6438,.,78968,1.46,1.33,1.39,1.37,1.4,1.41,1.51,1.5,1.51,1.41,1.38,1.39,1.42
AUT,1,2005,6482,5953,6554,6337,6640,6697,7065,6778,6847,6678,5973,6186,.,78190,1.4,1.29,1.42,1.37,1.44,1.45,1.53,1.47,1.48,1.45,1.29,1.34,1.41
AUT,1,2006,6526,6079,6515,6126,6545,6413,6939,6941,6858,6705,6239,6028,.,77914,1.41,1.32,1.41,1.33,1.42,1.39,1.51,1.51,1.49,1.46,1.36,1.31,1.41
AUT,1,2007,6504,5847,6280,5943,6395,6473,6844,6738,6710,6611,5898,6007,.,76250,1.42,1.28,1.37,1.3,1.4,1.42,1.5,1.47,1.47,1.45,1.29,1.32,1.39
AUT,1,2008,6739,6293,6213,6265,6452,6367,6801,6861,6820,6539,6021,6381,.,77752,1.48,1.38,1.36,1.37,1.41,1.4,1.49,1.5,1.5,1.43,1.32,1.4,1.42
AUT,1,2009,6475,5696,6310,5935,6291,6424,6948,6785,6788,6379,5999,6314,.,76344,1.42,1.25,1.39,1.3,1.38,1.41,1.53,1.49,1.49,1.4,1.32,1.39,1.4
AUT,1,2010,6414,5972,6484,6211,6585,6545,7067,6896,6943,6816,6467,6342,.,78742,1.41,1.31,1.42,1.36,1.45,1.44,1.55,1.51,1.52,1.5,1.42,1.39,1.44
AUT,1,2011,6651,6112,6336,6057,6430,6731,6994,6865,6983,6643,5908,6399,.,78109,1.46,1.34,1.39,1.33,1.41,1.48,1.54,1.51,1.53,1.46,1.3,1.4,1.43
AUT,1,2012,6389,6052,6454,6362,6750,6382,7198,7039,6947,6839,6258,6282,.,78952,1.4,1.33,1.41,1.39,1.48,1.4,1.58,1.54,1.52,1.49,1.37,1.37,1.44
AUT,1,2013,6629,5845,6474,6010,6615,6499,7197,7020,7173,6989,6382,6497,.,79330,1.45,1.28,1.41,1.31,1.44,1.42,1.57,1.53,1.56,1.52,1.38,1.4,1.44
AUT,1,2014,6666,6063,6513,6470,6863,6825,7542,7272,7340,7097,6418,6653,.,81722,1.44,1.31,1.4,1.39,1.47,1.46,1.62,1.56,1.57,1.52,1.37,1.42,1.46
AUT,1,2015,6985,6281,6886,6784,7118,7120,7414,7583,7439,7271,6702,6798,.,84381,1.49,1.34,1.46,1.44,1.51,1.51,1.57,1.6,1.57,1.54,1.41,1.43,1.49
AUT,1,2016,6980,6596,7128,6772,7265,7414,8006,7891,8039,7465,6946,7173,.,87675,1.47,1.39,1.5,1.42,1.52,1.55,1.68,1.65,1.68,1.56,1.45,1.5,1.53
AUT,1,2017,7040,6723,7148,7038,7459,7498,7941,7840,7495,7361,7043,7047,.,87633,1.47,1.4,1.49,1.47,1.55,1.56,1.65,1.63,1.56,1.53,1.46,1.47,1.52
AUT,1,2018,7219,6529,6967,6790,7386,7217,7874,7588,7430,7182,6647,6706,.,85535,1.5,1.36,1.45,1.41,1.53,1.5,1.63,1.57,1.54,1.49,1.38,1.39,1.48
AUT,1,2019,7061,6363,6859,6889,7038,7118,7804,7489,7478,7348,6646,6859,.,84952,1.46,1.32,1.42,1.42,1.45,1.47,1.61,1.54,1.54,1.52,1.37,1.41,1.46
AUT,1,2020,6932,6327,6802,6666,7082,7099,7679,7543,7330,7195,6413,6535,.,83603,1.43,1.3,1.4,1.37,1.46,1.46,1.58,1.56,1.51,1.48,1.32,1.35,1.44
AUT,1,2021,6894,6613,7039,6716,7099,7147,7639,7490,7805,.,.,.,.,.,1.42,1.37,1.45,1.39,1.47,1.48,1.58,1.55,1.61,.,.,.,.
BEL,1,2000,9768,9279,9892,9235,10131,9402,9912,10137,9475,9720,9101,9105,.,115157,1.69,1.61,1.72,1.6,1.76,1.64,1.73,1.77,1.65,1.69,1.59,1.59,1.67
BEL,1,2001,9766,8602,9757,9588,10020,9461,10069,9927,9276,9762,9055,9145,.,114428,1.71,1.5,1.71,1.68,1.75,1.66,1.76,1.74,1.63,1.72,1.59,1.61,1.67
BEL,1,2002,9508,8713,9651,8968,9307,8846,9967,9653,9337,9638,8660,9236,.,111484,1.68,1.54,1.71,1.59,1.65,1.57,1.77,1.72,1.66,1.71,1.54,1.64,1.65
BEL,1,2003,9589,8569,9205,9489,9145,9300,10189,9447,9682,9447,8757,9569,.,112388,1.71,1.53,1.64,1.69,1.63,1.66,1.82,1.68,1.73,1.68,1.56,1.71,1.67
BEL,1,2004,9717,9035,9690,9234,9088,9817,10335,10124,9888,9684,9325,9971,.,115908,1.73,1.61,1.73,1.64,1.62,1.75,1.84,1.8,1.76,1.73,1.66,1.78,1.72
BEL,1,2005,9727,9073,10212,9722,9795,9921,10014,10452,10105,10137,9292,9840,.,118290,1.73,1.62,1.82,1.73,1.75,1.77,1.79,1.86,1.8,1.81,1.66,1.75,1.76
BEL,1,2006,10119,9135,10449,9705,10434,10171,10390,10599,10629,10711,9766,9587,.,121695,1.8,1.62,1.86,1.72,1.85,1.81,1.84,1.88,1.88,1.89,1.72,1.69,1.8
BEL,1,2007,10518,9597,10447,9791,10624,10177,10945,11327,10490,10968,9984,10360,.,125228,1.85,1.68,1.83,1.71,1.86,1.78,1.91,1.97,1.83,1.91,1.74,1.8,1.82
BEL,1,2008,11022,9932,10305,10932,10675,10715,11590,10660,10960,10895,9999,10364,.,128049,1.92,1.73,1.79,1.9,1.85,1.86,2.01,1.85,1.9,1.89,1.73,1.8,1.85
BEL,1,2009,10776,9473,10627,10661,10384,10781,11278,11038,10986,10761,9967,10565,.,127297,1.87,1.64,1.84,1.85,1.8,1.87,1.96,1.91,1.9,1.86,1.72,1.82,1.84
BEL,1,2010,10701,9834,11036,10139,10380,10929,11136,11263,11166,11175,10542,10872,.,129173,1.85,1.7,1.9,1.75,1.79,1.88,1.91,1.93,1.91,1.91,1.8,1.86,1.85
BEL,1,2011,10668,9660,10645,10176,11053,10839,11173,11338,10957,10718,9973,10455,.,127655,1.82,1.65,1.82,1.74,1.88,1.84,1.9,1.93,1.86,1.82,1.69,1.77,1.81
BEL,1,2012,10526,9964,10850,10433,10836,10666,11012,11018,10578,10915,10004,10191,.,126993,1.79,1.69,1.84,1.77,1.83,1.8,1.86,1.86,1.79,1.84,1.69,1.72,1.79
BEL,1,2013,10648,9484,10337,10110,10591,10401,11354,10902,10561,10459,9753,10262,.,124862,1.8,1.6,1.74,1.7,1.78,1.75,1.91,1.83,1.78,1.76,1.64,1.72,1.75
BEL,1,2014,10786,9682,10193,10106,10377,10605,11240,10703,10724,10449,9600,9950,.,124415,1.81,1.63,1.71,1.7,1.74,1.78,1.89,1.79,1.8,1.75,1.61,1.66,1.74
BEL,1,2015,10089,9105,10098,9954,10204,10301,10854,10551,10390,10549,9493,10125,.,121713,1.69,1.52,1.69,1.66,1.7,1.72,1.81,1.76,1.73,1.76,1.58,1.69,1.69
BEL,1,2016,10100,9444,10067,9702,10274,10375,10737,10481,10431,10190,9396,9964,.,121161,1.68,1.57,1.68,1.61,1.71,1.73,1.79,1.74,1.73,1.69,1.56,1.65,1.68
BEL,1,2017,9843,9189,9639,9480,10178,9874,10297,10725,10206,10403,9464,9804,.,119102,1.63,1.52,1.6,1.57,1.68,1.63,1.7,1.77,1.68,1.72,1.56,1.61,1.64
BEL,1,2018,9766,8618,9626,9434,10203,10007,10594,10555,9879,10230,9429,9459,.,117800,1.61,1.42,1.58,1.55,1.67,1.64,1.74,1.73,1.61,1.67,1.54,1.54,1.61
BEL,1,2019,9946,8784,9247,9574,9973,9847,10763,10241,9936,10130,9334,9328,.,117103,1.61,1.42,1.5,1.55,1.61,1.59,1.73,1.65,1.6,1.63,1.5,1.5,1.57
BEL,1,2020,9668,8684,9687,9493,9581,9752,10413,9769,9706,9608,8733,8645,.,113739,1.55,1.39,1.56,1.52,1.54,1.56,1.67,1.57,1.55,1.54,1.4,1.38,1.52
BEL,1,2021,8652,8680,10007,9700,9608,9966,10533,10277,.,.,.,.,.,.,1.38,1.39,1.6,1.55,1.53,1.59,1.68,1.64,.,.,.,.,.
BGR,1,2000,6436,6024,6371,5883,6259,6209,6664,6529,6248,5716,5253,6087,.,73679,.,.,.,.,.,.,.,.,.,.,.,.,.
BGR,1,2001,5932,5537,5889,5489,5801,5662,6184,5991,5889,5752,4858,5196,.,68180,.,.,.,.,.,.,.,.,.,.,.,.,.
BGR,1,2002,5415,5008,5650,5331,5520,5472,5896,5904,5905,5684,5229,5485,.,66499,.,.,.,.,.,.,.,.,.,.,.,.,.
BGR,1,2003,5719,5188,5663,5318,5648,5682,6319,6017,5794,5679,5102,5230,.,67359,.,.,.,.,.,.,.,.,.,.,.,.,.
BGR,1,2004,5826,5350,5892,5865,5862,5913,6284,6262,5921,5732,5312,5667,.,69886,.,.,.,.,.,.,.,.,.,.,.,.,.
BGR,1,2005,5894,5485,5977,5820,5995,6053,6320,6400,6165,5821,5339,5806,.,71075,.,.,.,.,.,.,.,.,.,.,.,.,.
BGR,1,2006,6106,5547,6242,5829,6263,5973,6803,6704,6486,6283,5868,5874,.,73978,.,.,.,.,.,.,.,.,.,.,.,.,.
